sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked,recovery_checked
government,Risdon Vale Primary School,Risdon Vale,7016,,risdon.vale.primary@decyp.tas.gov.au,,https://risdonvaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.81259813,147.35329662,true,false
government,Bellerive Primary School,Bellerive,7018,,bellerive.primary@decyp.tas.gov.au,https://belleriveprimary.education.tas.edu.au/site-search,https://belleriveprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.87227607,147.37011063,true,false
government,Clarence High School,Bellerive,7018,,clarence.high@education.tas.gov.au,https://clarencehigh.education.tas.edu.au/site-search,https://clarencehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.877901,147.38924026,true,false
government,Howrah Primary School,Howrah,7018,,servicecentre@education.tas.gov.au,,https://howrahprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.88107919,147.40211048,true,false
government,Montagu Bay Primary School,Montagu Bay,7018,,montagu.bay.primary@decyp.tas.gov.au,,https://montagubayprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.86449013,147.35223353,true,false
government,Warrane Primary School,Warrane,7018,,warrane.primary@education.tas.gov.au,https://warraneprimary.education.tas.edu.au/site-search,https://warraneprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.86122275,147.38262197,true,false
government,Clarendon Vale Primary School,Clarendon Vale,7019,,clarendon.vale.primary@decyp.tas.gov.au,https://clarendonvaleprimary.education.tas.edu.au/site-search,https://clarendonvaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.88738509,147.44439485,true,false
government,Rokeby Primary School,Rokeby,7019,,rokeby.primary@education.tas.gov.au,https://rokebyprimary.education.tas.edu.au/site-search,https://rokebyprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.89897973,147.43372383,true,false
government,Lauderdale Primary School,Lauderdale,7021,,lauderdale.primary@education.tas.gov.au,https://lauderdaleprimary.education.tas.edu.au/site-search,https://lauderdaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.905072,147.47854,true,false
government,South Arm Primary School,South Arm,7022,,south.arm.primary@education.tas.gov.au,,https://southarmprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.02586187,147.42019695,true,false
government,Richmond Primary School,Richmond,7025,,servicecentre@decyp.tas.gov.au,,https://richmondprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.73928054,147.43798461,true,false
government,Campania District School,Campania,7026,,campania.district@decyp.tas.gov.au,https://www.campaniadistrict.tas.edu.au/site-search,https://www.campaniadistrict.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.66623963755808,147.42309355300003,true,false
government,Glen Huon Primary School,Glen Huon,7109,,glenhuon.ps@education.wa.edu.au,https://www.glenhuonps.wa.edu.au/contact-us/,https://www.glenhuonps.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.02813851,146.96237801,true,false
government,Huonville Primary School,Huonville,7109,,huonville.primary@education.tas.gov.au,,https://huonvilleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.02374508,147.04694878,true,false
government,Cygnet Primary School,Cygnet,7112,,cygnet.primary@decyp.tas.gov.au,https://cygnetprimary.education.tas.edu.au/site-search,https://cygnetprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.15825931,147.07223964,true,false
government,Franklin Primary School,Franklin,7113,,franklin.primary@education.tas.gov.au,https://franklinprimary.education.tas.edu.au/site-search,https://franklinprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.08553093,147.01185573,true,false
government,Kingston Primary School,Kingston,7050,,kingston.ps@education.wa.edu.au,https://www.kingstonprimary.wa.edu.au/site-search,https://www.kingstonprimary.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.97934878,147.30991854,true,false
government,Blackmans Bay Primary School,Blackmans Bay,7052,,blackmans.bay.primary@decyp.tas.gov.au,https://blackmansbayprimary.education.tas.edu.au/site-search,https://blackmansbayprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.99699352,147.32126417,true,false
government,Margate Primary School,Margate,7054,,margate.primary@decyp.tas.gov.au,https://margateprimary.education.tas.edu.au/site-search,https://margateprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.028852,147.262095,true,false
government,Snug Primary School,Snug,7054,,snug.primary@decyp.tas.gov.au,https://snugprimary.education.tas.edu.au/site-search,https://snugprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.06533258,147.25426938,true,false
government,Bruny Island District School,Alonnah,7150,,bruny.island.district@decyp.tas.gov.au,,https://brunyislanddistrict.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.31756067,147.24605186,true,false
government,Cambridge Primary School,Cambridge,7170,,,https://cambridgeprimary.education.tas.edu.au/site-search,https://cambridgeprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.83620708,147.44182458,true,true
government,Evandale Primary School,Evandale,7212,,servicecentre@decyp.tas.gov.au,,https://evandaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.567519,147.249153,true,false
government,Bicheno Primary School,Bicheno,7215,,bicheno.primary@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/bichenoprimary/,https://bichenoprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.87237979,148.30570234,true,false
government,East Launceston Primary School,East Launceston,7250,,east.launceston.primary@education.tas.gov.au,,https://eastlauncestonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.44202283,147.1520445,true,false
government,Glen Dhu Primary School,South Launceston,7249,,glen.dhu.primary@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/glendhuprimary/,https://glendhuprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.45590244,147.1439905,true,false
government,Norwood Primary School,Norwood,7250,,dl.0131.admin@schools.sa.edu.au,https://www.norwoodps.sa.edu.au/contact/,https://www.norwoodps.sa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.46210661,147.17427556,true,false
government,Punchbowl Primary School,Newstead,7250,,servicecentre@decyp.tas.gov.au,,https://punchbowlprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.45252801,147.16532986,true,false
government,Riverside Primary School,Riverside,7250,,riverside.primary@decyp.tas.gov.au,https://riversideprimary.education.tas.edu.au/,https://riversideprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.41277009,147.10063288,true,false
government,St Leonards Primary School,St Leonards,7250,,st.leonards.primary@education.tas.gov.au,,https://stleonardsprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.45970425,147.2003125,true,false
government,Summerdale Primary School,Summerhill,7250,,summerdale.primary@decyp.tas.gov.au,https://summerdaleprimary.education.tas.edu.au/site-search,https://summerdaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.46827258,147.12970713,true,false
government,Trevallyn Primary School,Trevallyn,7250,,trevallyn.primary@decyp.tas.gov.au,https://trevallynprimary.education.tas.edu.au/site-search,https://trevallynprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.43814374,147.11466237,true,false
government,Waverley Primary School,Waverley,7250,,glen.waverley.ps@education.vic.gov.au,https://www.glenps.vic.edu.au/,https://www.glenps.vic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.43207254,147.19013249,true,false
government,West Launceston Primary School,West Launceston,7250,,west.launceston.primary@education.tas.gov.au,,https://westlauncestonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.44906993,147.12848365,true,false
government,Youngtown Primary School,Youngtown,7249,,,,https://www.facebook.com/YoungtownPrimarySchool/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.482606,147.163844,true,true
government,Port Dalrymple School,George Town,7253,,port.dalrymple@decyp.tas.gov.au,https://portdalrymple.education.tas.edu.au/site-search,https://portdalrymple.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.09971856,146.82811512,true,false
government,South George Town Primary School,George Town,7253,,south.george.town.primary@decyp.tas.gov.au,https://southgeorgetownprimary.education.tas.edu.au/site-search,https://southgeorgetownprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.11362094,146.83363318,true,false
government,Bridport Primary School,Bridport,7262,,servicecentre@decyp.tas.gov.au,,https://bridportprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.00162041,147.38937093,true,false
government,Ringarooma Primary School,Ringarooma,7263,,ringarooma.primary@decyp.tas.gov.au,https://ringaroomaprimary.education.tas.edu.au/site-search,https://ringaroomaprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.24228469,147.73323945,true,false
government,Scottsdale Primary School,Scottsdale,7260,,scottsdale.primary@education.tas.gov.au,https://scottsdaleprimary.education.tas.edu.au/contact/,https://scottsdaleprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.16034658,147.50665375,true,false
government,Hagley Farm Primary School,Hagley,7292,,hagley.farm.primary@decyp.tas.gov.au,https://hagleyfarmprimary.education.tas.edu.au/site-search,https://hagleyfarmprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.52669149,146.90340231,true,false
government,Orford Primary School,Orford,7190,,orford.primary@decyp.tas.gov.au,https://orfordprimary.education.tas.edu.au/site-search,https://orfordprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.56331933,147.87384235,true,false
government,Swansea Primary School,Swansea,7190,,swansea.primary@education.tas.gov.au,https://swanseaprimary.education.tas.edu.au/site-search,https://swanseaprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.12236781,148.07320103,true,false
government,Bracknell Primary School,Bracknell,7302,,bracknell.primary@education.tas.gov.au,,https://bracknellprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.65243695,146.93358694,true,false
government,Perth Primary School,Perth,7300,,southperth.ps@education.wa.edu.au,https://southperthps.wa.edu.au/contact-us/,https://southperthps.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.57317837,147.17437105,true,false
government,Longford Primary School,Longford,7301,,longford.ps@edumail.vic.gov.au,https://www.longford-ps.vic.edu.au/?page_id=79,https://www.longford-ps.vic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.59593583,147.11694321,true,false
government,Westbury Primary School,Westbury,7303,,servicecentre@decyp.tas.gov.au,,https://westburyprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.53170299,146.83805102,true,false
government,Deloraine Primary School,Deloraine,7304,,deloraine.primary@education.tas.gov.au,,https://deloraineprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.52867221,146.66271544,true,false
government,Mole Creek Primary School,Mole Creek,7304,,mole.creek.primary@decyp.tas.gov.au,https://molecreekprimary.education.tas.edu.au/,https://molecreekprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.55845075,146.40554897,true,false
government,Latrobe Primary School,Latrobe,7307,,servicecentre@decyp.tas.gov.au,,https://latrobeprimary.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.23961898,146.41601313,true,false
government,Sheffield School,Sheffield,7306,,sheffield@decyp.tas.gov.au,https://sheffield.education.tas.edu.au/site-search,https://sheffield.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.38460175,146.3245746,true,false
government,Latrobe High School,Latrobe,7307,,servicecentre@decyp.tas.gov.au,,https://latrobehigh.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.23650373,146.42525319,true,false
government,Sassafras Primary School,Sassafras,7307,,sassafras.primary@education.tas.gov.au,,https://sassafrasprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.2871478,146.50331382,true,false
government,Devonport Primary School,Devonport,7310,,devonport.primary@education.tas.gov.au,https://devonportprimary.education.tas.edu.au/site-search,https://devonportprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.18023239,146.35740161,true,false
government,East Devonport Primary School,East Devonport,7310,,east.devonport.primary@education.tas.gov.au,https://eastdevonportprimary.education.tas.edu.au/site-search,https://eastdevonportprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.17792747,146.37211466,true,false
government,Forth Primary School,Forth,7310,,forth.primary@education.tas.gov.au,https://forthprimary.education.tas.edu.au/#section1470,https://forthprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.19291547,146.24858234,true,false
government,Hillcrest Primary School,Devonport,7310,,servicecentre@decyp.tas.gov.au,,https://hillcrestprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.1870573,146.33315893,true,false
government,Miandetta Primary School,Miandetta,7310,,miandetta.primary@education.tas.gov.au,https://miandettaprimary.education.tas.edu.au/contact/,https://miandettaprimary.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.1954,146.349,true,false
government,Nixon Street Primary School,Devonport,7310,,nixon.street.primary@decyp.tas.gov.au,,https://nixonstreetprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.1729974,146.33828234,true,false
government,Spreyton Primary School,Spreyton,7310,,spreyton.primary@decyp.tas.gov.au,https://spreytonprimary.education.tas.edu.au/site-search,https://spreytonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.21202919,146.34585593,true,false
government,Wilmot Primary School,Wilmot,7310,,wilmot.primary@education.tas.gov.au,https://wilmotprimary.education.tas.edu.au/site-search,https://wilmotprimary.education.tas.edu.au/home,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.38699434,146.17536786,true,false
government,East Ulverstone Primary School,Ulverstone,7315,,east.ulverstone.primary@education.tas.gov.au,,https://eastulverstoneprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.15452656,146.19175434,true,false
government,Sprent Primary School,Sprent,7315,,servicecentre@decyp.tas.gov.au,,https://sprentprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.26294106,146.15942756,true,false
government,Ulverstone Primary School,Ulverstone,7315,,servicecentre@decyp.tas.gov.au,,https://ulverstoneprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.16076112,146.16414432,true,false
government,West Ulverstone Primary School,West Ulverstone,7315,,west.ulverstone.primary@education.tas.gov.au,https://westulverstoneprimary.education.tas.edu.au/site-search,https://westulverstoneprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.14816145,146.15951375,true,false
government,Riana Primary School,Riana,7316,,riana.primary@decyp.tas.gov.au,https://rianaprimary.education.tas.edu.au/site-search,https://rianaprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.20249009,145.9989877,true,false
government,Burnie Primary School,Park Grove,7320,,burnie.primary@education.tas.gov.au,,https://burnieprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.0584334,145.88530288,true,false
government,Cooee Primary School,Cooee,7320,,servicecentre@decyp.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/cooeeprimary/wp-content/uploads/sites/31/2021/08/Launching-Into-Learning-Contact-Form.pdf,https://cooeeprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.0415376,145.86646528,true,false
government,Montello Primary School,Montello,7320,,,https://www.montelloprimary.education.tas.edu.au/site-search,https://www.montelloprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.05990677,145.89857951,true,true
government,Boat Harbour Primary School,Boat Harbour,7321,,boat.harbour.primary@decyp.tas.gov.au,https://boatharbourprimary.education.tas.edu.au/site-search,https://boatharbourprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.94562609,145.63535686,true,false
government,Havenview Primary School,Havenview,7320,,servicecentre@decyp.tas.gov.au,,https://havenviewprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.08386446,145.91116837,true,false
government,Natone Primary School,Natone,7321,,natone.primary@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/natoneprimary/,https://natoneprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.17012891,145.92177351,true,false
government,Ridgley Primary School,Ridgley,7321,,ridgley.primary@education.tas.gov.au,https://ridgleyprimary.education.tas.edu.au/site-search,https://ridgleyprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.13997773,145.8377718,true,false
government,Table Cape Primary School,Wynyard,7325,,table.cape.primary@education.tas.gov.au,https://tablecapeprimary.education.tas.edu.au/site-search,https://tablecapeprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.98316517,145.71486624,true,false
government,Edith Creek Primary School,Edith Creek,7330,,edith.creek.primary@education.tas.gov.au,https://edithcreekprimary.education.tas.edu.au/site-search,https://edithcreekprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.97052056,145.09340726,true,false
government,Forest Primary School,Forest,7330,,tuartforest.ps@education.wa.edu.au,https://tuartforestps.wa.edu.au/contact-us/,https://tuartforestps.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.84838284,145.24941532,true,false
government,Redpa Primary School,Redpa,7330,,redpa.primary@education.tas.gov.au,https://redpaprimary.education.tas.edu.au/site-search,https://redpaprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.932925,144.761834,true,false
government,Smithton Primary School,Smithton,7330,,smithton.primary@decyp.tas.gov.au,https://smithtonprimary.education.tas.edu.au/contact/,https://smithtonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.84946046,145.11605256,true,false
government,Stanley Primary School,Stanley,7331,,stanley.primary@education.tas.gov.au,https://stanleyprimary.education.tas.edu.au/contact/,https://stanleyprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-40.75956582,145.29098508,true,false
government,Brighton Primary School,Brighton,7030,,brighton.ps@education.vic.gov.au,https://www.brighton.vic.edu.au/contact,https://www.brighton.vic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.69909438,147.25845801,true,false
government,Bagdad Primary School,Bagdad,7030,,bagdad.primary@decyp.tas.gov.au,https://bagdadprimary.education.tas.edu.au/site-search,https://bagdadprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.62489064,147.22295679,true,false
government,Kempton Primary School,Kempton,7030,,kempton.primary@education.tas.gov.au,,https://kemptonprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.5311126,147.19913449,true,false
government,Fairview Primary School,New Norfolk,7140,,fairview.primary@education.tas.gov.au,https://fairviewprimary.education.tas.edu.au/site-search,https://fairviewprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.77432027,147.05092241,true,false
government,New Norfolk Primary School,New Norfolk,7140,,new.norfolk.primary@education.tas.gov.au,,https://newnorfolkprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.77900115,147.06366914,true,false
government,Molesworth Primary School,Molesworth,7140,,molesworth.primary@decyp.tas.gov.au,https://www.molesworthprimary.education.tas.edu.au/site-search,https://www.molesworthprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.80404026,147.15677869,true,false
government,Westerway Primary School,Westerway,7140,,westerway.primary.admin.staff@decyp.tas.gov.au,https://westerwayprimary.education.tas.edu.au/site-search,https://westerwayprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.67762923,146.78735111,true,false
government,Strahan Primary School,Strahan,7468,,strahan.primary@decyp.tas.gov.au,https://strahanprimary.education.tas.edu.au/site-search,https://strahanprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.15342033,145.32034704,true,false
government,Zeehan Primary School,Zeehan,7469,,zeehan.primary@education.tas.gov.au,https://zeehanprimary.education.tas.edu.au/site-search,https://zeehanprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.88801157,145.33959279,true,false
independent,Tarremah Steiner School,Huntingfield,7055,,mail@tarremah.tas.edu.au,https://www.tarremah.tas.edu.au/,http://www.tarremah.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.997854,147.289813,true,false
independent,Australian Christian College - Burnie,Somerset,7322,,burnie@acc.edu.au,,https://www.acc.edu.au/burnie/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.0444,145.81,true,true
catholic,MacKillop Catholic College,Mornington,7018,,enrolments@mackillop.tas.edu.au,,http://www.mackillop.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.857456,147.400625,true,true
independent,Devonport Christian School,Don,7310,,admin@dcs.tas.edu.au,,http://www.dcs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.18196,146.3234,true,true
catholic,St Finn Barr's Catholic Primary School,Invermay,7248,,stfinnbarrs@catholic.tas.edu.au,http://www.stfinnbarrs.tas.edu.au/site-search,http://www.stfinnbarrs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.415572,147.132923,true,false
independent,Giant Steps Tasmania,Deloraine,7304,,principal@giantsteps.tas.edu.au,https://www.giantsteps.tas.edu.au/search-results,http://www.giantsteps.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.5225,146.652,true,false
catholic,Dominic College,Glenorchy,7010,,,http://www.dominic.tas.edu.au/contact,http://www.dominic.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.848604,147.257738,true,true
catholic,Mount Carmel College,Sandy Bay,7005,,info@mountcarmel.tas.edu.au,https://mountcarmel.tas.edu.au/,http://www.mountcarmel.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.901946,147.33217,true,false
catholic,Sacred Heart College,New Town,7008,,admin@shc.tas.edu.au,http://www.shc.tas.edu.au/search,http://www.shc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.86218,147.304645,true,false
government,Dodges Ferry Primary School,Dodges Ferry,7173,,dodges.ferry.primary@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/dodgesferry/wp-content/uploads/sites/32/2025/12/School-Contact-Details-Partnership-Agreement-Form-SUNSMART-DFPS.docx,https://dodgesferryprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.84870944,147.62474666,true,false
government,Exeter Primary School,Exeter,7275,,exeter.primary@education.tas.gov.au,,https://exeterprimary.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.29885674,146.95637398,true,false
government,Illawarra Primary School,Blackmans Bay,7052,,michael.hayen@education.tas.gov.au,https://illawarraprimaryschool.education.tas.edu.au/,https://illawarraprimaryschool.education.tas.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.0086344,147.31937793,true,false
independent,OneSchool Global Tas,Claremont,7011,,,,https://www.oneschoolglobal.com/regions/australia/tasmania/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true,true
government,Beaconsfield Primary School,Beaconsfield,7270,,,,https://beaconsfield.tas.gov.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.20319085,146.8219466,true,true
independent,Newstead Christian School,Newstead,7250,,office@ncs.tas.edu.au,http://www.ncs.tas.edu.au/search,http://www.ncs.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.438287,147.165078,true,false
catholic,St Virgil's College,Austins Ferry,7011,,jsadmin@stvirgils.tas.edu.au,https://www.stvirgils.tas.edu.au/search,http://www.stvirgils.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.774178,147.251698,true,false
independent,Peregrine,Nicholls Rivulet,7112,,admin@peregrine.tas.edu.au,https://www.peregrine.tas.edu.au/contact/,http://www.peregrine.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-43.141636,147.152841,true,false
government,Mountain Heights School,Queenstown,7467,,mountain.heights@education.tas.gov.au,https://schoolsweb.decyp.tas.gov.au/mountainheights/,https://mountainheights.education.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-42.09410938,145.54957398,true,false
catholic,St Brendan-Shaw College,Devonport,7310,,enrolments@sbsc.tas.edu.au,https://tas.us21.list-manage.com/subscribe/post?u=0336f174fa1ece66442c648f4&id=882d25fafc&f_id=009adde6f0,http://www.sbsc.tas.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-41.167167,146.342373,true,false
